recordURL,apiUrl,imageUrl,paintingUrl,inscriptionText,artistName,artDate,artTitle,thresholdLevel,boxLeft,boxTop,boxWidth,boxHeight,angle,Invert
https://www.metmuseum.org/art/collection/search/661923,https://collectionapi.metmuseum.org/public/collection/v1/objects/661923,https://images.metmuseum.org/CRDImages/dp/original/DP353724.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/661923/1473999/main-image,IN VENTIONE PER DUIBAVARI AL LA VE / NET(IA) / PER COLA RI (Illegible Text) / PARTE DANANZI / FFF,Cesare Vecellio (Publisher),1601,Corona delle Nobili et Virtuose Donne,0.4,577,596.835,170,17.652,0,1
https://www.metmuseum.org/art/collection/search/335870,https://collectionapi.metmuseum.org/public/collection/v1/objects/335870,https://images.metmuseum.org/CRDImages/dp/original/DP804103.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/335870/752353/main-image,Eur(Illegible Text),Anonymous,16th century,Drawings of the Zodiac,0.55,485.872,765.745,93.606,28.414,0,0
https://www.metmuseum.org/art/collection/search/335870,https://collectionapi.metmuseum.org/public/collection/v1/objects/335870,https://images.metmuseum.org/CRDImages/dp/original/DP804105.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/335870/752447/main-image,(Illegible Text),Anonymous,16th century,Drawings of the Zodiac,0.55,491.957,789.294,114.61,21.625,0,0
https://www.metmuseum.org/art/collection/search/363374,https://collectionapi.metmuseum.org/public/collection/v1/objects/363374,https://images.metmuseum.org/CRDImages/dp/original/DP806721.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/363374/755965/main-image,Utterance [?] for the (Illegible Text) of the Croatian camp near …,Constantin Guys,1817–92,The Croatian Potentate Narguile,0.4,255.766,22.184,112.223,70.466,0.35,0
https://www.metmuseum.org/art/collection/search/363374,https://collectionapi.metmuseum.org/public/collection/v1/objects/363374,https://images.metmuseum.org/CRDImages/dp/original/DP806721.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/363374/755965/main-image,Utterance [?] for the … of the Croatian camp near (Illegible Text),Constantin Guys,1817–92,The Croatian Potentate Narguile,0.4,596.522,23.6715,201.997,59.9675,0.2,0
https://www.metmuseum.org/art/collection/search/334258,https://collectionapi.metmuseum.org/public/collection/v1/objects/334258,https://images.metmuseum.org/CRDImages/dp/original/DP818897.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/334258/769295/main-image,Prefecture le 12 Octobre 1846 / Signé: d’Imbert / Pour Expédon conforme / Le secrétaire général / (Illegible Text),Formerly attributed to copy after Honoré Daumier,1825–80,Man Dreaming,0.7,348.447,447,206.833,95.031,-0.04,0
https://www.metmuseum.org/art/collection/search/818898,https://collectionapi.metmuseum.org/public/collection/v1/objects/818898,https://images.metmuseum.org/CRDImages/dp/original/DP883643.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/818898/1862628/main-image,N (Illegible Text) Comte,Anonymous,1800–1900,Men thrashing,0.75,1112.242,834,80,20,0,0
https://www.metmuseum.org/art/collection/search/370877,https://collectionapi.metmuseum.org/public/collection/v1/objects/370877,https://images.metmuseum.org/CRDImages/dp/original/DP124881.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/370877/738183/main-image,descin de la scepulture OR lestin de (Illegible Text),Anonymous,16th century,Design for a Double Heart Monument,0.75,179.31,486.7,636.454,143.842,0,0
https://www.metmuseum.org/art/collection/search/824262,https://collectionapi.metmuseum.org/public/collection/v1/objects/824262,https://images.metmuseum.org/CRDImages/dp/original/DP886442.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/824262/1898531/main-image,Carriage (Illegible Text),Anonymous,19th century,Book cover with overall abstract pattern,0.38,163.053,549.618,144.733,108.092,1.58,0
https://www.metmuseum.org/art/collection/search/722474,https://collectionapi.metmuseum.org/public/collection/v1/objects/722474,https://images.metmuseum.org/CRDImages/dp/original/DP863333.jpg,https://collectionapi.metmuseum.org/api/collection/v1/iiif/722474/1595091/main-image,[illegible] Secretaire / P (Illegible Text) de l'Ecole syn[illegible] des / Beaux arts / Paris Palais de l'Ecole,Anonymous,ca. 1824–67,J.A.D. Ingres calling card envelope,0.4,130.205,403.061,263.282,75.634,0.05,0
